"vegType","PFT","woodyNonWoody","site","iLMA.early.mean","iLMA.early.sd","iLMA.late.mean","iLMA.late.sd","iLMA.delta.mean","iLMA.delta.sd","iLMA.rOfChange.mean","iLMA.rOfChange.sd","LMA.early.mean","LMA.early.sd","LMA.late.mean","LMA.late.sd","LMA.delta.mean","LMA.delta.sd","LMA.rOfChange.mean","LMA.rOfChange.sd","VPDmean.early","VPDmean.late","VPDmax.early","VPDmax.late","VPDmin.early","VPDmin.late","precip.early","precip.late","Tmean.early","Tmean.late","Tmax.early","Tmax.late","Tmin.early","Tmin.late","SPEI12.early","SPEI12.late","VPDmean.delta","VPDmean.rOfChange","VPDmax.delta","VPDmax.rOfChange","VPDmin.delta","VPDmin.rOfChange","precip.delta","precip.rOfChange","Tmean.delta","Tmean.rOfChange","Tmax.delta","Tmax.rOfChange","Tmin.delta","Tmin.rOfChange","SPEI12.delta","SPEI12.rOfChange","SPEImin","SPEImax","nSPEIwet1.0","nSPEIwet1.5","nSPEIwet2.0","nSPEIdry1.0","nSPEIdry1.5","nSPEIdry2.0"
"Broadleaf deciduous f.","broadleaf","woody","CLBJ",3.8143132402778,NA,3.5308693072154,NA,-0.283443933062403,NA,-0.00944813110208009,NA,0.0118903774919722,NA,0.0106658146679627,NA,-0.0012245628240095,NA,-4.08187608003168e-05,NA,0.894245160141063,0.94030165131047,1.92199735667801,2.05459400696075,0.281760299930855,0.367054014291368,1006.81341041918,985.652628340971,17.9510750724798,18.7814619396678,34.6753136486189,35.5375599904379,1.02320655151662,2.70658434826073,0.194897658415139,0.215285605460026,0.0460564911694066,0.00153521637231355,0.132596650282735,0.00441988834275783,0.0852937143605133,0.00284312381201711,-21.1607820782057,-0.705359402606856,0.830386867187951,0.0276795622395984,0.862246341819009,0.0287415447273003,1.68337779674411,0.0561125932248036,0.020387947044887,0.000679598234829568,-1.69757211665634,1.75129177347295,6,1,0,7,2,0
"Broadleaf deciduous f.","broadleaf","woody","CWTT1",2.85906295164413,NA,2.86771331516318,NA,0.00865036351905113,NA,0.000288345450635038,NA,0.00776340966998813,NA,0.00780078183549947,NA,3.73721655113381e-05,NA,1.24573885037794e-06,NA,0.392691768608316,0.450605747253361,0.652498620764996,0.726340259473753,0.190455104555617,0.221860866406037,1548.7387609266,1626.60664669907,11.9745743044737,13.3616114060769,26.5538512289433,27.5648218706524,-3.61054181917927,-1.62613831411352,0.0994507646139366,0.514216170822204,0.0579139786450454,0.00193046595483485,0.0738416387087565,0.00246138795695855,0.0314057618504195,0.00104685872834732,77.8678857724667,2.59559619241556,1.38703710160323,0.0462345700534409,1.01097064170908,0.0336990213903026,1.98440350506576,0.0661467835021919,0.414765406208268,0.0138255135402756,-2.27372217599351,2.24770354533643,6,2,1,5,2,1
"Broadleaf deciduous f.","broadleaf","woody","CWTT2",3.44282293987747,NA,3.19951096268273,NA,-0.243311977194736,NA,-0.00811039923982454,NA,0.0102854279471526,NA,0.00923424721207822,NA,-0.0010511807350744,NA,-3.50393578358134e-05,NA,0.392691768608316,0.450605747253361,0.652498620764996,0.726340259473753,0.190455104555617,0.221860866406037,1548.7387609266,1626.60664669907,11.9745743044737,13.3616114060769,26.5538512289433,27.5648218706524,-3.61054181917927,-1.62613831411352,0.0994507669479294,0.514219497638186,0.0579139786450454,0.00193046595483485,0.0738416387087565,0.00246138795695855,0.0314057618504195,0.00104685872834732,77.8678857724667,2.59559619241556,1.38703710160323,0.0462345700534409,1.01097064170908,0.0336990213903026,1.98440350506576,0.0661467835021919,0.414768730690257,0.0138256243563419,-2.27371436039242,2.2477045603096,6,2,1,5,2,1
"Broadleaf deciduous f.","broadleaf","woody","CWTT3",2.88093266430273,NA,2.92040867172963,NA,0.0394760074268983,NA,0.00131586691422994,NA,0.00785789338958706,NA,0.00802844158447351,NA,0.000170548194886447,NA,5.68493982954823e-06,NA,0.392691768608316,0.450605747253361,0.652498620764996,0.726340259473753,0.190455104555617,0.221860866406037,1548.7387609266,1626.60664669907,11.9745743044737,13.3616114060769,26.5538512289433,27.5648218706524,-3.61054181917927,-1.62613831411352,0.0994507646895295,0.51421627831063,0.0579139786450454,0.00193046595483485,0.0738416387087565,0.00246138795695855,0.0314057618504195,0.00104685872834732,77.8678857724667,2.59559619241556,1.38703710160323,0.0462345700534409,1.01097064170908,0.0336990213903026,1.98440350506576,0.0661467835021919,0.4147655136211,0.0138255171207033,-2.27372192347559,2.24770357813104,6,2,1,5,2,1
"Broadleaf deciduous f.","broadleaf","woody","CWTT4",2.80293238774659,NA,2.72817770486702,NA,-0.0747546828795622,NA,-0.00249182276265207,NA,0.00752090879478157,NA,0.007197946138337,NA,-0.000322962656444564,NA,-1.07654218814855e-05,NA,0.377639495039006,0.437067251258465,0.623978047106544,0.702947147630029,0.179797153621145,0.213922225727651,1482.68338419389,1564.04918982805,11.6402933993923,13.0652166657197,26.2192782086475,27.2396752282473,-4.26058761885657,-2.05612948809484,0.0778348977852078,0.522610924276379,0.0594277562194589,0.0019809252073153,0.0789691005234843,0.00263230335078281,0.0341250721065065,0.00113750240355022,81.3658056341581,2.7121935211386,1.42492326632745,0.0474974422109149,1.02039701959981,0.0340132339866604,2.20445813076173,0.0734819376920577,0.444776026491171,0.0148258675497057,-2.15811299851879,2.17877393139184,6,2,1,5,2,1
"Broadleaf deciduous f.","broadleaf","woody","CWTT5",2.90350574415678,NA,2.92403844164971,NA,0.0205326974929374,NA,0.00068442324976458,NA,0.00795541586648054,NA,0.00804412327945927,NA,8.87074129787314e-05,NA,2.95691376595771e-06,NA,0.392691768608316,0.450605747253361,0.652498620764996,0.726340259473753,0.190455104555617,0.221860866406037,1548.7387609266,1626.60664669907,11.9745743044737,13.3616114060769,26.5538512289433,27.5648218706524,-3.61054181917927,-1.62613831411352,0.0994507658468239,0.514217926121524,0.0579139786450454,0.00193046595483485,0.0738416387087565,0.00246138795695855,0.0314057618504195,0.00104685872834732,77.8678857724667,2.59559619241556,1.38703710160323,0.0462345700534409,1.01097064170908,0.0336990213903026,1.98440350506576,0.0661467835021919,0.4147671602747,0.0138255720091567,-2.27371805232935,2.24770408086712,6,2,1,5,2,1
"Broadleaf deciduous f.","broadleaf","woody","Gothic_Asp",2.86921565483986,NA,3.08523460850664,NA,0.216018953666779,NA,0.00720063178889265,NA,0.00780727239360463,NA,0.00874053907913121,NA,0.000933266685526582,NA,3.11088895175527e-05,NA,0.27019005837679,0.356371340575687,0.637930214018008,0.841078200850438,0.0770554890556935,0.0825661671262454,887.281959212858,706.656413796203,-0.621929435530648,0.631881250098635,18.4494794811781,20.0703846651057,-16.236950319869,-15.5555840261054,0.696967884095816,-0.142540918691632,0.0861812821988977,0.00287270940662992,0.203147986832431,0.00677159956108102,0.00551067807055189,0.000183689269018396,-180.625545416655,-6.02085151388848,1.25381068562928,0.0417936895209761,1.62090518392764,0.0540301727975881,0.681366293763558,0.0227122097921186,-0.839508802787448,-0.0279836267595816,-3.78625704413051,1.37400131435381,3,0,0,6,3,1
"Broadleaf deciduous f.","broadleaf","woody","GRSM",3.08812708535212,NA,3.02251079309498,NA,-0.0656162922571437,NA,-0.00218720974190479,NA,0.00875303544684678,NA,0.00846955337940825,NA,-0.000283482067438535,NA,-9.44940224795118e-06,NA,0.371032669944332,0.442656955391132,0.629597324876867,0.750322223106806,0.155233597572075,0.197848060760279,1419.89663986479,1502.37957754996,11.4125827835432,12.9236610272063,26.347473502152,27.2131379810213,-5.26121104619993,-2.96773238673842,0.0579226698997879,0.665583133291236,0.0716242854468001,0.00238747618156,0.120724898229939,0.0040241632743313,0.042614463188204,0.00142048210627347,82.4829376851712,2.74943125617237,1.51107824366306,0.0503692747887688,0.865664478869324,0.0288554826289775,2.29347865946151,0.0764492886487169,0.607660463391448,0.0202553487797149,-1.93608401767429,2.15002972929383,6,3,1,7,4,0
"Broadleaf deciduous f.","broadleaf","woody","MLBS",2.49959784149724,NA,2.80392902106123,NA,0.304331179563992,NA,0.0101443726521331,NA,0.00621041255462053,NA,0.00752521454969084,NA,0.00131480199507031,NA,4.38267331690105e-05,NA,0.38509588286973,0.430624585157564,0.710235375761997,0.78131346942352,0.148227275016949,0.181675330250266,1060.60052443103,1067.63896733925,10.018824445582,11.2784279606248,26.1292712200273,26.7102274124505,-6.83708270647702,-5.36910898712138,0.247943967965369,0.242405961141404,0.0455287022878334,0.00151762340959445,0.0710780936615232,0.00236926978871744,0.0334480552333172,0.00111493517444391,7.03844290822713,0.234614763607571,1.25960351504276,0.0419867838347586,0.580956192423244,0.0193652064141081,1.46797371935564,0.0489324573118547,-0.00553800682396494,-0.000184600227465498,-2.43869258192256,2.21225581575184,5,4,1,3,3,2
"Broadleaf deciduous f.","broadleaf","woody","SCBI",3.07665221205664,NA,3.08246816422798,NA,0.00581595217134101,NA,0.000193865072378034,NA,0.00870346055174829,NA,0.00872858720991413,NA,2.51266581658433e-05,NA,8.37555272194777e-07,NA,0.522422987276243,0.531467800402125,1.08161929689843,1.01852117338281,0.168671879750874,0.214784614089728,1000.62497958589,1146.35201736023,11.6330335408891,12.6886936515481,29.6608977149245,29.6244031364339,-6.45193622325013,-4.63530177662199,0.115753861545911,-0.00454544820490558,0.00904481312588135,0.000301493770862712,-0.0630981235156238,-0.00210327078385413,0.046112734338854,0.00153709114462847,145.727037774338,4.85756792581125,1.055660110659,0.0351886703552999,-0.0364945784905686,-0.00121648594968562,1.81663444662814,0.0605544815542714,-0.120299309750817,-0.0040099769916939,-2.2241116355357,1.68291482699633,5,3,0,7,2,1
