"site","LMA.slp","VPDmean.slp","VPDmax.slp","VPDmin.slp","precip.slp","Tmean.slp","Tmax.slp","Tmin.slp","nYears","vegType","PFT","woodyNonWoody"
"AlmontCO",6.9299e-05,0.00245366680760085,0.00694570300744844,4.85196626165518e-05,-10.102,0.0298077121849268,0.0596191120781675,0.0530008298228252,16,"Mixed f.","conifer","woody"
"AlmontCO",6.9299e-05,0.00245366680760085,0.00694570300744844,4.85196626165518e-05,NA,0.0298077121849268,0.0596191120781675,0.0530008298228252,0,"Mixed f.","conifer","woody"
"AlmontCO",6.9299e-05,0.00245366680760085,0.00694570300744844,4.85196626165518e-05,3.9168,0.0298077121849268,0.0596191120781675,0.0530008298228252,1,"Mixed f.","conifer","woody"
"AlmontCO",NA,0.00245366680760085,0.00694570300744844,4.85196626165518e-05,3.9168,0.0298077121849268,0.0596191120781675,0.0530008298228252,0,"Mixed f.","conifer","woody"
"AlmontCO",-0.00077275,0.00245366680760085,0.00694570300744844,4.85196626165518e-05,3.9168,0.0298077121849268,0.0596191120781675,0.0530008298228252,13,"Mixed f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,-0.99199,0.0495678267976175,3,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,NA,0.0495678267976175,0,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,6,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,NA,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,0,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,14,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,1.447,0.074818,0.0495678267976175,1,"Evergreen conifer f.","conifer","woody"
"ANDT1",-0.000283635142193163,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,-0.36988,0.074818,0.0495678267976175,4,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,-0.99199,0.0495678267976175,3,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,NA,0.0495678267976175,0,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,-0.019494,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,6,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,NA,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,0,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,-0.0098035,0.074818,0.0495678267976175,14,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,1.447,0.074818,0.0495678267976175,1,"Evergreen conifer f.","conifer","woody"
"ANDT2",-0.000308869765141782,0.00144288950915125,0.017105,0.000354947724574688,5.93650663223459,-0.36988,0.074818,0.0495678267976175,4,"Evergreen conifer f.","conifer","woody"
